first_name,last_name,company_title,company_name,funding_tier,linkedin_url,person_info,homepage_url,company_info,company_goals,total_funding,latest_round,key_investors
Mati,Staniszewski,Co-Founder and CEO,Elevenlabs,Tier 0,https://www.linkedin.com/in/matiii,"Mati Staniszewski is a Polish entrepreneur and co-founder of ElevenLabs, serving as CEO since its founding in 2022. He graduated from Imperial College London with a degree in economics and previously worked as a Deployment Strategist at Palantir and at BlackRock, where he helped launch the Aladdin Wealth platform.",https://elevenlabs.io,"ElevenLabs is an AI research and product company based in Warsaw, Poland, specializing in developing natural-sounding speech synthesis software using deep learning. The company's two platforms span creative work for speech, music, and sound generation, and a platform for voice agents that listen, talk, and act.","ElevenLabs aims to make information accessible in any language and voice through lifelike speech and sound effects in 32 languages. The company serves industries like publishing, entertainment, education, accessibility, and conversational AI, with a mission to overcome linguistic barriers in content access and create natural human-technology interaction.",$11 billion valuation after Series D,"Series D, $500 million (2026)","Sequoia Capital, Andreessen Horowitz, Salesforce Ventures, NVIDIA"
Alexey,Milovidov,Co-founder and CTO,ClickHouse,Tier 0,https://www.linkedin.com/in/alexey-milovidov-clickhouse,"Alexey Milovidov is the Co-founder and CTO of ClickHouse, with 16 years of experience in data-intensive applications. He began developing ClickHouse in 2009 while working at Yandex and released it as open source in 2016. Before ClickHouse, he developed the data processing engine for the world's second-largest web analytics system.",https://clickhouse.com/,"ClickHouse is a super-fast, high-performing, open-source, column-oriented DBMS designed for OLAP (Online Analytical Processing) workloads. It enables companies to analyze large volumes of data quickly and efficiently.",ClickHouse is building and expanding its capabilities to optimize performance and serve 1000+ companies worldwide with its open-source database platform. It works toward enhancing its features and maintaining high performance for data analytics and real-time processing use cases.,"$75M ($50M Series A, $250M Series B)",Series B - $250M (2021),"Expanding Capital, Altimeter, Bessemer Venture Partners, IVP, BOND, Insight Partners"
Alex,Bouzari,Co-Founder and CEO,DDN,Tier 0,https://www.linkedin.com/in/alex-bouzari-5082a74/,"Alex Bouzari is Co-Founder and CEO of DataDirect Networks (DDN), a leader in AI and high-performance computing infrastructure. He is a visionary leader shaping the future of AI, having participated in industry forums and discussions on enterprise AI adoption and infrastructure.",,"DataDirect Networks (DDN) is a company focused on AI and high-performance computing infrastructure, helping organizations leverage AI, accelerated business insight, and computing capabilities.","DDN is building enterprise AI solutions, including the Enterprise AI HyperPOD, to deliver scalable, reliable, and cost-effective AI infrastructure for thousands of organizations globally, serving both on-premise and cloud environments.",,,
Andrey,Khusid,Founder and CEO,Miro,Tier 1,https://www.linkedin.com/in/khusid,"Andrey Khusid is the Founder and CEO of Miro, which he founded in 2011. He previously worked in design and architecture, and before founding Miro, he was the Founder of Vitamin Group, a company dedicated to digital technologies, graphic and product design, branding, and multimedia projects.",https://miro.com,"Miro is an AI Innovation Workspace for teams, enabling organizations of any size to build the next big thing. It is an online whiteboard platform used for brainstorming, project management, product design, and agile rituals.","Miro is building an AI-first canvas that empowers cross-functional teams to flow from early discovery through final delivery on a shared, AI-driven platform. It serves 250,000 companies worldwide, including Fortune 100 companies, and is used by over 100 million users globally.",Unknown,,"Accel, Iconiq"
Anton,Osika,Co-Founder,Lovable,Tier 0,https://www.linkedin.com/in/antonosika/,"Anton Osika is the Co-Founder and CEO of Lovable, a Swedish AI-powered platform that enables non-technical users to build software by chatting with AI. Previously, he worked as a particle physicist at CERN, was the first employee at Swedish AI unicorn Sana Labs, and co-founded YC-backed Depict.ai.",https://lovable.dev/,"Lovable is a Swedish vibe coding platform founded in 2023 that allows users to enter prompts to automate software development, turning ideas into working products like websites, apps, and newsletters without requiring any coding knowledge.","Lovable is building an AI-powered platform that democratizes software creation for the 99% who can't code, enabling anyone to build apps and websites by simply describing what they want in plain English. The company serves non-technical founders, product managers, hobbyists, and teams from top companies looking to rapidly prototype and launch digital products.",$653M,"Series B: $330M on Dec 11, 2025","CapitalG, Menlo Ventures, Accel, NVentures, Salesforce Ventures, Databricks Ventures, T.Capital, Atlassian Ventures, HubSpot Ventures, Khosla Ventures, DST Global, EQT Growth, Kinship Ventures, Creandum, Evantic"
Antoine,Grolin,President,Groupe Projex,Tier 3,https://www.linkedin.com/in/antoine-grolin-598601119,"Antoine Grolin is the President of Groupe Projex and previously served as Director General of the company. He began his career at Bouygues Construction in 2003, joined Groupe Projex in 2003 as a managing director, and founded NODI in 2017, a company focused on transforming urban areas into mixed-use spaces for local communities.",https://www.groupe-projex.fr,"Groupe Projex is a French engineering group specializing in all branches of construction engineering, including architecture, urban planning, and infrastructure. It operates through five expertise poles: Engineering, Consulting, Environment, BIM, and MOEx/Key handover, serving the housing, healthcare, commercial, industrial, and infrastructure sectors.","The company aims to achieve a turnover of over 60 million euros and employs nearly 430 people across 11 offices in France and Africa. It focuses on modernizing urban areas, developing mixed-use neighborhoods, and supporting sustainable redevelopment of industrial sites and underutilized land.",Unknown,,
Alain,Wilmouth,President and CEO,2CRSi,Public,https://www.linkedin.com/in/alainwilmouth,"Alain Wilmouth is the President and Vice President of 2CRSi, a French global technology group specializing in high-performance and energy-efficient server technology. He co-founded the company and has been instrumental in its growth, including its listing on Euronext Growth Paris.",https://2crsi.com/,"2CRSi is a French global Tech group, listed on Euronext Growth Paris, specializing in the design and manufacturing of high-performance, energy-efficient servers and IT solutions. The company offers products including GPU and AI servers, rugged servers, edge computing solutions, and data center services.","2CRSi is building and working toward next-generation AI and HPC servers, including high-density GPU servers and rugged edge computing platforms. The company serves diverse sectors such as aerospace, defense, security, oil & gas, healthcare, scientific research, telecommunications, automotive, banking, and web services, with solutions deployed across 50+ countries.",Public company,,
Ameya,Bhatawdekar,"VP, Field CTO",Braintrust,Tier 1,https://www.linkedin.com/in/ameyab/,"Ameya Bhatawdekar is the VP, Field CTO at Braintrust, where she leads work on AI evaluation and observability. She has prior experience at flok Health, Dropbox, Microsoft, and Facebook AI, and has driven multiple 0→1 initiatives to internet-scale, shipping intelligent systems for major platforms.",https://www.braintrust.dev/,"Braintrust is an AI observability platform designed specifically for teams building and scaling AI products in production. It provides engineering and product teams with tools to monitor, understand, and ensure the reliability of AI models in production.","Braintrust is building an AI observability platform that connects evals and observability in one workflow, helping teams measure, evaluate, and improve AI in production. It serves engineering and product teams at companies like Notion, Replit, Cloudflare, and Dropbox, enabling them to ship quality AI products at scale.",$203.5M,Series B - $80M raised in February 2026,"ICONIQ Capital, Andreessen Horowitz, Greylock, Elad Gil, Basecase Capital"
Alice,Guéhennec,"Group Chief Tech, Data & Digital Officer",Sodexo,Tier 2,https://www.linkedin.com/in/aliceguehennec,"Alice Guéhennec is the Group Chief Tech, Data & Digital Officer at Sodexo, recognized as a winner of the HotTopics Global CIO 100 2026 for the second consecutive year. She previously served as Vice President at CIGREF (Association of CIO in France) and Deputy CIO at the Prefecture of Police of Paris.",https://www.sodexo.com,"Sodexo is a French food services and facilities management company headquartered in Issy-les-Moulineaux, France, operating in 43 countries and serving 80 million customers daily across 27,000 sites. It employs approximately 426,464 people as of 2025.","Sodexo integrates food services, facilities management, and employee benefits to improve quality of life for clients, employees, and communities. The company is building sustainable solutions, including digital and AI-driven services, and works toward becoming a trusted long-term partner for clients in corporate, healthcare, education, and public sectors.","$1,100,000,000","Post IPO debt - $1,100,000,000 - June 27, 2025",
Andrew,Homan,"Maverick Silicon, Managing Partner",Maverick Silicon,Investor,https://www.linkedin.com/in/andrew-homan-879360124,"Andrew Homan is the Managing Partner at Maverick Silicon, a venture capital firm focused on semiconductor, hardware, and software investments. Prior to co-founding Maverick Silicon in 2024, he led Maverick Capital's investments across the semiconductor, hardware, and software industries, and previously worked as an Analyst in the Investment Banking Division at Goldman, Sachs & Co.",https://www.mavericksilicon.com/,"Maverick Silicon is a venture capital firm established to invest in private companies that are pioneering advancements in semiconductor technology and computing, with a focus on chip design, hardware, and software development.","The firm invests in private companies designing or producing chips, hardware, software, or processes that meet the global demand for compute, serving technology startups and established firms seeking strategic investments to scale their operations.",Unknown,,
