first_name,last_name,company_title,company_name,funding_tier,linkedin_url,person_info,homepage_url,company_info,company_goals,total_funding,latest_round,key_investors
Philippe,Rambach,,Schneider Electric,Public,https://www.linkedin.com/in/philipperambach,"Philippe Rambach is the Senior Vice President and Chief Artificial Intelligence Officer at Schneider Electric, with over 20 years of experience in strategy, innovation, and business responsibility in industries such as energy management and industrial automation. He joined Schneider Electric in 2010 from AREVA and previously held leadership roles including SVP Industrial Automation Commercial and SVP Commercial Industry Business Unit.",https://www.se.com,"Schneider Electric is a French multinational specialising in energy management, electrification, and automation, headquartered in Rueil-Malmaison, France. The company serves industry, buildings, data centres, and infrastructure globally with integrated energy technology solutions.","Schneider Electric is building and working toward digital transformation through AI, IoT, and sustainable energy solutions to help industries achieve efficiency, sustainability, and decarbonization. It serves customers across homes, buildings, data centres, infrastructure, and industries by providing energy management, industrial automation, and digitalization services.",Public company,,
Linz,Phillips,,Croda,Tier 2,https://www.linkedin.com/in/linz-phillips,"Linz Phillips is Chief Information Officer at Croda, responsible for global IT, digital transformation, data, cybersecurity, and AI across a complex, multinational FTSE 100 manufacturing organisation. He is known for combining clear strategic direction with disciplined execution in modernising enterprise platforms and operating models.",https://www.croda.com,"Croda International is a UK-based specialty chemicals company that develops, produces, and sells high-performance, sustainable ingredients and technologies for a wide range of industries including life sciences, performance technology, industrial chemicals, and personal care.","Croda is focused on creating value-added, sustainable chemicals that improve lives through smart science, with a commitment to being Climate, Land, and People Positive by 2030. The company serves major brands across consumer care and life sciences, and is investing in innovation and sustainability to meet evolving market demands.",$21M,"Grant (prize money) round of $21M on Mar 31, 2022",
Dena,Al Mansoori,,ADNOC,Public,https://www.linkedin.com/in/denaalmansoori/,"Dena Al Mansoori is the Group Chief Technology & Innovation Officer at ADNOC Group, a role she assumed in November 2025. She brings over 20 years of experience spanning technology, AI, and HR leadership, most recently serving as Group Chief AI & Data Officer and CHRO at e&.",https://adnoc.ae/,"ADNOC, the Abu Dhabi National Oil Company, is the state-owned oil and gas company of Abu Dhabi, UAE. It is one of the world's largest energy producers, operating across the entire hydrocarbon value chain including exploration, production, refining, distribution, and petrochemicals.","ADNOC is building a $150 billion capital expenditure program from 2026-2030 to maintain and grow its operations, including major gas and oil projects like Hail and Ghasha, and pursuing sustainable and low-carbon initiatives. The company serves the UAE's domestic energy needs, supports economic development through its In-Country Value program, and aims to meet global energy demand.",Public company,,
Dimitris,Bountolos,,Ferrovial,Public,,,,,,,,
Najwa,AlGhamdi,,STC,Tier 3,,No LinkedIn profile information found for Najwa AlGhamdi at STC.,https://www.stc.com,"STC (Saudi Telecom Company) is an integrated telecommunications services provider offering ICT services in Saudi Arabia, the Middle East, and Europe. It provides telecommunications, mobile and data services, landline and fixed infrastructure, internet access, enterprise digital solutions, and digital payments.","STC is building and working toward becoming a digital enabler focused on driving digital transformation in Saudi Arabia and the wider region. It serves both corporate and consumer markets including residential, business, and government customers through its offerings in telecommunications, information technology, digital infrastructure, cloud computing, cybersecurity, and digital entertainment.",Unknown,,Public Investment Fund of Saudi Arabia (64% stake)
Ramon,Martins da Silva,,TOTVS,Tier 3,,,,,,,,
Nikolaos,Giannakakis,,Motor Oil,Public,,No specific information available about Nikolaos Giannakakis at Motor Oil.,https://www.linkedin.com/company/motor-oil,"Motor Oil is a company listed on LinkedIn, likely involved in the energy or petroleum sector based on its name, but no detailed description is provided.","No detailed information is available about what Motor Oil is building, working toward, or who it specifically serves.",Unknown,,
Pete,Hendel,,Akkodis Group,Tier 3,https://www.linkedin.com/in/pete-hendel-9591141/,"Pete Hendel has over 30 years of experience in engineering, including a specialization in environmental engineering, and currently works at Akkodis. He has previously worked at Bacardi and is part of Akkodis' leadership team.",https://www.akkodis.com/,"Akkodis is a global digital engineering company and Smart Industry leader, part of the Adecco Group. It provides IT and engineering services through four service lines: Consulting, Solutions, Talents, and Academy.","Akkodis enables clients to advance in their digital transformation by offering end-to-end solutions for rethinking product development and business processes. The company is building expertise in AI, sustainability, green energy, electrification, aerospace, and defense, serving clients across industries with a mission to 'Engineer a Smarter Future Together'.",Unknown,,Adecco Group
Stephanie,Beaulieu,,Nestle France,Public,,,https://www.nestle.fr,"Nestle France is a subsidiary of Nestle, a global food and beverage company. It operates in France, producing and distributing a wide range of food products including dairy, beverages, and culinary items.","Nestle France focuses on providing high-quality, nutritious food products to consumers in France. It aims to innovate in food technology and sustainability to meet consumer needs and promote health and wellness.",Public company,,
Yves,Caseau,,Michelin,Public,https://www.linkedin.com/in/yves-caseau-1a2b3c4d,"Yves Caseau is the Group Chief Digital & Information Officer (CDIO) at Michelin. He has a strong background in information systems, digital transformation, and innovation, with previous roles including CIO at Bouygues Telecom and Head of Digital at AXA. He holds a PhD in Computer Science and is a member of the National Academy of Technologies.",https://www.michelin.com,"Michelin is a French multinational tire manufacturer headquartered in Clermont-Ferrand, France. Founded in 1889, it produces tires for a wide range of vehicles including passenger cars, trucks, motorcycles, bicycles, and aircraft. Michelin is also known for its travel guides and Michelin stars for restaurants.","Michelin is focused on sustainable mobility, innovation in tire technology, and digital transformation. It aims to improve mobility for people and goods by manufacturing high-quality tires and developing digital solutions such as AI-driven manufacturing and predictive maintenance. The company serves customers worldwide across automotive, commercial, agricultural, and specialty vehicle sectors.",Public company,"Grant (prize money) round on Jan 01, 2024",Not applicable (public company)
