first_name,last_name,job_title,company_name,honorific,bio,photo_url,speaker_id
Mark,Cuban,Entrepreneur,Mark Cuban Companies,,"Mark Cuban, a native of Pittsburgh, PA, a graduate of Indiana University, and now a Dallas, TX resident has always been an entrepreneur.From selling and trading baseball cards, selling garbage bags and magazines door-to-door, to starting a business buying and selling stamps at age 16, there have been few years in his life when he wasn’t starting or running a business. After graduating from IU, a friend suggested he come to Dallas. Off Mark went to live in “The Village” with five roommates, getting only the floor in the corner of a bedroom as his new “home.” Starting as a bartender, he was not there long before he got a job at one of Dallas’ first retail software stores, Your Business Software.He spent nine months doing everything from learning how to code, supporting and installing every type of business software and of course, making sure the store opened on time. That went well until he made the executive decision to turn over the store opening duties to a peer so he could pick up a check for a sale.He was fired.With no money and still sleeping on the floor, Mark was relentless until he found his first customer, Architectural Lighting, who fronted him the money for the software they needed. That advance was all Mark needed. Over the next seven vacationless years, MicroSolutions became a national leader in Systems Integration and custom applications for local and wide area networks, making it near the top of LAN Magazine’s LAN 100. Growing to 80 employees, never having a losing month of operations and nearly $36M in annualized sales, in 1990, MicroSolutions was sold to CompuServe, a subsidiary of H&R Block for $6M. At that point Mark “retired ” to investing in public and private companies.  His knowledge of the networking industry led to success and brought returns of 80 percent and more each year. He used that track record to briefly build a hedge fund, for which he got an offer he couldn’t refuse and sold within 12 months. After a brief stint in LA to have fun taking acting classes and doing fortunately long-forgotten commercials and B movies, he returned to Dallas.During a lunch with a college friend, Todd Wagner, they discussed how they might use “this new thing called the internet” to listen to broadcasts of IU basketball games in Dallas–at that time, an impossibility. Using his knowledge of networking and Todd’s extensive background on law and business, they started Audionet.com, the first commercial streaming company in the world.AudioNet grew quickly and soon became Broadcast.com, adding video and much more, going public in July 1998 with what would be the largest first day jump in share valuation in the history of the stock market! Broadcast.com was the largest multimedia site on the internet, without a close second. After being pursued by multiple possible acquisitors, Broadcast.com was sold for $5.7B in stock to Yahoo Inc. Once the deal closed, Mark became concerned that the internet stock boom could become a bust, so he hedged his stock, putting on a long short collar that would go on to be called “one of the top 10 stock market trades of all time.” It was at the same time Mark purchased the Dallas Mavericks for $285M. The Mavs would have the second-best record in the NBA during his ownership tenure, got to the NBA Finals in 2006, and won the World Championship in 2011.Mark changed the nature of ownership of a professional team. He sat with fans. He took a vocal stand on officiating, getting fined millions of dollars. He also led to significant changes in how teams were operated. He was the first to bring in Player Development coaches. At the time he was criticized, but it is now done by every team. He had the NBA change the clear path rule to 2 shots and the ball after showing the league the math behind the incentives to foul. He added mics to the rim of the American Airlines Center, expanded in arena entertainment and fan engagement. He considers his greatest failure during his tenure as Governor of the Mavs to be his inability to help the NBA improve the officiating, despite spending more than $3M in fines. Mark sold majority control of the Mavs in 2023, but continues to be actively involved with the team. In addition to the Mavs, Mark continued to be active as an entrepreneur and investor. Along with Phil Garvin, in 2001, they started HDNet and HDNet Movies, the world’s first all High-Definition TV network. That started the path for Todd Wagner and Mark to focus on building the first fully integrated media and entertainment company. Adding Landmark Theaters, starting 2929 Productions, HDNet Films and Magnolia Pictures, Todd and Mark set a new entertainment path.",https://brella-assets.brella.io/uploads/speaker/photo/405114/98cd3f2517fd2.jpg,405114
Andrew,Feldman,Co-Founder and Chief Executive Officer,Cerebras,,"Andrew is co-founder and CEO of Cerebras Systems. He is an entrepreneur dedicated to pushing boundaries in the compute space. Prior to Cerebras, he co-founded and was CEO of SeaMicro, a pioneer of energy-efficient, high-bandwidth microservers. SeaMicro was acquired by AMD in 2012 for $357M.Before SeaMicro, Andrew was the Vice President of Product Management, Marketing and BD at Force10 Networks which was later sold to Dell Computing for $800M. Prior to Force10 Networks, Andrew was the Vice President of Marketing and Corporate Development at RiverStone Networks from the company’s inception through IPO in 2001.Andrew holds a BA and an MBA from Stanford University.",https://brella-assets.brella.io/uploads/speaker/photo/410814/573dbf295d71a.jpg,410814
Yann,LeCun,Chairman,AMI,,"Pioneer of modern AI and deep learning, inventor of convolutional neural networks (CNNs), Turing Award laureate, NYU professor, and former Chief AI Scientist at Meta, where he founded FAIR. Has consistently advanced open science and long-term research, shaping how AI is built, shared, and applied worldwide.",https://brella-assets.brella.io/uploads/speaker/photo/405159/ec818ecdc11aa.jpg,405159
Anton,Osika,Co-Founder,Lovable,,"Anton Osika co-founded Lovable in 2023, an AI software engineer that lets anyone build applications up to 20x faster than writing code. Under his leadership, Lovable achieved $4 million in annual recurring revenue (ARR) within four weeks of launch and $10 million ARR in two months, making it Europe's fastest-growing startup. Before Lovable, Anton has a background in Particle Physics working at CERN, Deep Learning research as the first employee at Sana Labs and serving as CTO Depict, a YC startup that raised $20m.",https://brella-assets.brella.io/uploads/speaker/photo/405177/183a4818c6f77.jpg,405177
Arthur,Mensch,CEO & Co-Founder,Mistral AI,,"Arthur Mensch is a French entrepreneur and scientist.In 2023, Arthur Mensch, along with Guillaume Lample and Timothée Lacroix, founded Mistral AI with the mission of making generative AI ubiquitous and pioneering a new approach to AI - one that is more open, portable, independent, and accessible to all.",https://brella-assets.brella.io/uploads/speaker/photo/410995/f5479a9b5eac8.jpg,410995
Mati,Staniszewski,Co-Founder and CEO,Elevenlabs,,"Mati Staniszewski is the Co-Founder and CEO of ElevenLabs, the AI research and product company building audio tools for businesses, developers, and creators. The company’s two platforms span creative work for speech, music, and sound generation, and a platform for voice agents that listen, talk, and act. Before founding ElevenLabs, Mati worked at Palantir as a Deployment Strategist with Fortune 500 companies and governments, and at BlackRock, where he helped launch the Aladdin Wealth platform",https://brella-assets.brella.io/uploads/speaker/photo/405200/739a76e395d84.jpg,405200
Aaron,Ginn,CEO & Co-founder,Hydra Host,,"Aaron Ginn is the co-founder and CEO of Hydra Host, one of the largest GPU management platforms in the world and the defining operating system for AI factories. A pioneer in both technology and public policy, Aaron previously held growth and product leadership roles at Everlane and StumbleUpon, and co-founded the Foundation for American Innovation and Fabius Labs to bridge the gap between Silicon Valley and Washington. A Forbes 30 Under 30 honoree, he is a contributor to The Wall Street Journal, Fox News, and Washington Post. He is a recognized speaker on artificial intelligence, decentralized infrastructure, and national tech policy.",https://brella-assets.brella.io/uploads/speaker/photo/411085/37d4a7c7155d0.jpg,411085
Abel,Samot,Founding Partner,>commit,,"Abel is a founding partner at >commit, the first transatlantic VC focused on investing on Commercial Open Source companies. He started coding and building projects at a young age, before becoming an AI engineer deploying deep learning models (BERT, etc.) in large enterprises. He later spent six years at Red River West investing in infrastructure software, while building the data team and the firm's data platform. He holds engineering and business degrees.",https://brella-assets.brella.io/uploads/speaker/photo/410347/96e88a1f6472b.jpg,410347
Abhishek,Das,Co-CEO,Yutori,,"Abhishek Das is co-CEO of Yutori, where he's building AI agents that work autonomously in the background. A former research scientist at Meta's Fundamental AI Research (FAIR),Das worked on deep neural networks as a part of the Open Catalyst Project. He earned his PhD from Georgia Tech, where his thesis on agents that can see, talk, and act received the AAAI/ACM SIGAI Doctoral Dissertation Award runner-up. His PhD research was supported by fellowships from Facebook, Adobe, and Snap.",https://brella-assets.brella.io/uploads/speaker/photo/405115/84d1b5588f9ab.jpg,405115
Akhil,Ahuja,Head of West Coast Technology Investment Banking,Bank of America,,"Akhil runs the Enterprise team within the Technology Investment Banking group. He overseas BofA’s coverage of companies in the Software-Defined Infrastructure, Cloud Computing, Data and Analytics software, and AI sectors.Akhil joined BofA’s Technology Investment Banking team in late 2022. Prior to that he ran the Enterprise team at Barclays from 2019 to late 2022, was a senior member of Wells Fargo’s Technology investment banking team from 2011 to 2019, and began his investment banking career with JPMorgan’s technology investment banking group in 2002 through 2011. Akhil earned his BS from the University of California at San Diego and then his MBA from the Stanford Graduate School of Business.",https://brella-assets.brella.io/uploads/speaker/photo/408695/2d76207b7007a.jpg,408695
Alain,Wilmouth,President and CEO,2CRSi,,"Alain Wilmouth from a two-year university degree in Economic Sciences. Self-taught and an entrepreneur, he has been building for more than 25 years his technical expertise and his reputation in the IT world. His numerous experience in management positions in the IT sector have allowed him to acquire a solid managerial experience in management and business administration while sharpening his technical background. After several company creations, he founded 2CRSi in 2005.",https://brella-assets.brella.io/uploads/speaker/photo/412727/6849c8314a26f.jpg,412727
