company,tier,amount_usd,total_funding,latest_round,key_investors,people,cohorts,company_info,homepage
VAST Data,Tier 0,30000000000,"Approximately $1 billion in the latest round; total funding around $1 billion in the recent Series F round, with a valuation of $30 billion as of 2026.","Series F funding round of approximately $1 billion closed in April 2026, led by Drive Capital and Access Industries, with participation from Fidelity Management & Research Company, NEA, and NVIDIA.","Drive Capital, Access Industries, Fidelity Management & Research Company, NEA, NVIDIA",19,"registrants,speakers","VAST Data is an AI operating system and data platform company that unifies storage, database, and compute engine capabilities into a single software platform. It is designed to eliminate traditional infrastructure silos and optimize data management for large-scale AI and deep learning workloads.",https://www.vastdata.com
Cognition,Tier 0,26000000000,$2.5 billion+,"Series D, $1 billion raised on May 27, 2026, at a $26 billion post-money valuation, co-led by Lux Capital, General Catalyst, and 8VC with participation from Founders Fund and others.","Founders Fund, Lux Capital, General Catalyst, 8VC, Bain Capital Ventures, Ribbit Capital, Atreides Management, Elad Gil",25,registrants,"Cognition is a San Francisco-based applied AI lab focused on reasoning and software development automation. It develops Devin, the first AI software engineer capable of planning, coding, testing, debugging, and deploying software autonomously. The company is known for hiring top competitive programmers and aims to build AI teammates with advanced capabilities beyond existing AI tools.",https://www.cognition-labs.com/
Cognition AI,Tier 0,26000000000,$2.1 billion,"Series D round on May 27, 2026, raising $1 billion at a $26 billion post-money valuation, led by Lux Capital, General Catalyst, and 8VC.","Founders Fund, Lux Capital, General Catalyst, 8VC, Elad Gil, Bain Capital Ventures, Neo, Definition Capital, Swish VC, Ribbit Capital, Atreides Management LP",2,"registrants,speakers","Cognition AI is an American artificial intelligence company headquartered in San Francisco, founded in 2023. It develops autonomous AI software engineers, notably its flagship product Devin, which automates coding tasks and supports software delivery and business growth. The company focuses on building end-to-end software agents that act as collaborative AI teammates to enhance engineering team efficiency and innovation.",https://cognition.com/
Mistral AI,Tier 0,23200000000,"Over $3 billion raised to date, with multiple rounds including a €600 million round in June 2024 and a $830 million debt financing in March 2026.",Currently in talks for a new funding round of around €3 billion ($3.5 billion) at a valuation near €20 billion ($23.2 billion) as of June 2026.,"Andreessen Horowitz, Lightspeed Venture Partners, General Catalyst, Microsoft, ASML, BNP Paribas, Salesforce, MGX (Abu Dhabi sovereign wealth fund)",5,"registrants,speakers",Mistral AI is a French artificial intelligence startup headquartered in Paris that specializes in developing high-performance generative artificial intelligence. The company develops both open-weight and proprietary large language models (LLMs) as well as specialized AI tools.,https://mistral.ai/
Coreweave,Tier 0,23000000000,$14 billion,IPO of $1.5 billion in March 2025 at a $23 billion valuation,"NVIDIA, Magnetar Capital, Blackstone, Coatue, Fidelity, BlackRock, Cisco Investments",7,"registrants,speakers","CoreWeave is an American AI cloud-computing company based in Livingston, New Jersey, specializing in GPU-based cloud infrastructure for AI developers and enterprises. Founded in 2017, it operates numerous data centers in the US and Europe and provides high-performance computing services optimized for AI workloads.",https://www.coreweave.com
HUB INSTITUTE,Tier 0,22100000000,$22.1B,,,1,registrants,"HUB INSTITUTE is a Paris-based digital and sustainable think tank that assists leading corporates in accelerating their digital leadership and transformation, with a focus on AI, digital transformation, and sustainable business practices.",https://www.hubinstitute.com
Bytedance,Tier 0,22000000000,"ByteDance has raised between $6.11 billion and $9.46 billion over multiple funding rounds, with some sources indicating up to $22 billion raised. The latest disclosed funding round was a Secondary Market round on March 15, 2023, led by G42.","Secondary Market round, amount undisclosed, on March 15, 2023, led by G42.","TCV, 2B Global, General Atlantic, SoftBank Vision Fund, Kohlberg Kravis Roberts, Primavera Capital Group, Oracle, Silver Lake, MGX, SIG Asia Investments, Sequoia Capital China, Coatue Management, Susquehanna International Group, Manhattan West, Capital Today, Golden Bay Ventures, Brightwing Capital, Galdana Ventures, Cowin Venture Partners",1,registrants,"ByteDance is a technology company founded in 2012, operating a range of content platforms that inform, educate, entertain, and inspire people globally. It develops popular products such as TikTok, Douyin, Toutiao, and others, focusing on AI-driven content discovery and personalization.",https://www.bytedance.com/en/
Epfl,Tier 0,20500000000,"EPFL has raised funding over 54 rounds from 4 investors, with total funding amounts reported in the billions (e.g., $18.2B or $20.5B in different sources), including grants and investments supporting research and startups.","The latest funding round was a Grant (prize money) round on May 28, 2025, with 1 investor participating.",EPFL has 4 institutional investors; specific names are not listed in the available information.,21,registrants,"EPFL is a leading science and technology university located in Lausanne, Switzerland, known for its cosmopolitan community with over 120 nationalities. It focuses on three core missions: education, research, and innovation, serving both Swiss and international communities.",https://www.epfl.ch/en/
Argyll Data Development Ltd,Tier 0,20300000000,"Approximately £15 billion ($20.3 billion) is projected to be required for the Killellan AI Growth Zone project. The company is considering funding options, including a €2 billion ($2.3 billion) capital raise through partnerships with European Guarantee Services and Luxembourg Fund Manager Ocorian AIFM. However, Argyll Data Development itself has not publicly raised funding before and is in early stages of capital raising.",No specific recent funding round disclosed for Argyll Data Development Ltd itself; capital raise efforts of €2 billion ($2.3 billion) are underway via partners for the broader infrastructure development.,"European Guarantee Services (EGS), Luxembourg Fund Manager Ocorian AIFM (in partnership for capital raise)",1,registrants,"Argyll Data Development Ltd is developing large-scale, renewable-powered hyperscale data centers in Scotland, specifically the Killellan AI Growth Zone. The company integrates on-site renewable energy sources such as wind, wave, solar, hydro, and hydrogen with advanced data center engineering, including innovative cooling and heat reuse systems, to enable secure, zero-carbon computing for AI and advanced computing workloads.",https://argylldev.com/
UNESCO,Tier 0,18300000000,$18.3B,,"Sharjah Book Authority, Patrick J. McGovern Foundation",18,registrants,"UNESCO, the United Nations Educational, Scientific and Cultural Organization, is a specialized agency of the United Nations. It promotes world peace and security through international cooperation in education, arts, sciences, culture, and communication.",https://www.unesco.org/en
Prometheus Association,Tier 0,18000000000,Over $18 billion,"Series B, $12 billion, June 2026","JPMorgan Chase, BlackRock, Goldman Sachs, DST Global, Arch Venture Partners, Jeff Bezos",1,registrants,No information was found about Prometheus Association in the provided search results.,
centralesupelec,Tier 0,16800000000,$16.8B,,"European Investment Bank, European Union",1,registrants,"CentraleSupélec is a prestigious French engineering school formed by the merger of École Centrale Paris and Supélec in 2015. It is a constituent member of Paris-Saclay University and offers engineering programs, research, and executive education.",https://www.centralesupelec.fr
IFS,Tier 0,16000000000,"IFS has raised approximately $4.61 billion in total funding, with a valuation exceeding €15 billion (about $16 billion) as of 2025.","The latest major funding event was a buyout/LBO with Softeon in 2026, with significant investments from Hg, EQT, Abu Dhabi Investment Authority, Canada Pension Plan Investment Board, and TA Associates in 2024-2025.","Hg, EQT, Abu Dhabi Investment Authority (ADIA), Canada Pension Plan Investment Board (CPP Investments), TA Associates",12,"registrants,speakers","IFS (originally Industrial and Financial Systems) is a global enterprise software and industrial AI software company headquartered in London, United Kingdom. The company develops cloud-based enterprise software focused on asset- and service-intensive industries, including ERP, EAM, and FSM.",https://www.ifs.com
Scale AI,Tier 0,15900000000,$15.9B,"Series G - $14.3B on Jun 12, 2025","Meta, Amazon, Accel, Y Combinator, Founders Fund, Coatue, Thrive Capital, Nvidia, Tiger Global, Greenoaks, Wellington Management",1,registrants,"Scale AI is an AI infrastructure and software company based in San Francisco, specializing in data annotation, model evaluation, and full-stack AI technologies. It provides high-quality data and tools to power leading AI models.",https://scale.com
